29;524;Casino;29.007;['Crime', 'Drama'];"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.";8.01;4801;1995-11-22;116112375;52000000;None;en;['Universal Pictures', 'Syalis DA', 'De Fina-Cappa', 'Légende Films']
30;829;Chinatown;19.077;['Crime', 'Drama', 'Mystery', 'Thriller'];Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.;7.92;3144;1974-06-20;30000000;6000000;The Jake Gittes Collection;en;['Paramount', 'Penthouse', 'Long Road Productions', 'Robert Evans Company']
31;598;Cidade de Deus;33.409;['Drama', 'Crime'];In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.;8.417;6161;2002-02-05;30641770;3300000;None;pt;['Miramax', 'O2 Filmes', 'Videofilmes', 'Wild Bunch', 'Hank Levine Film', 'Lumière', 'Globo Filmes']
32;15;Citizen Kane;65.969;['Mystery', 'Drama'];Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.;8.026;4663;1941-04-17;23218000;839727;None;en;['RKO Radio Pictures', 'Mercury Productions']
33;901;City Lights;14.686;['Comedy', 'Drama', 'Romance'];In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.;8.342;1757;1931-02-01;4250000;1500000;None;en;['United Artists', 'Charles Chaplin Productions']
34;903;Cool Hand Luke;18.344;['Crime', 'Drama'];"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.";7.8;1142;1967-06-22;16217773;3200000;None;en;['Warner Bros. Pictures', 'Jalem Productions']
35;562;Die Hard;65.031;['Action', 'Thriller'];NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.;7.755;9540;1988-07-15;140767956;28000000;Die Hard Collection;en;['20th Century Fox', 'Gordon Company', 'Silver Pictures']
36;17654;District 9;49.999;['Science Fiction'];Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.;7.411;8248;2009-08-05;210819611;30000000;None;en;['WingNut Films', 'TriStar Pictures', 'Key Creatives', 'Block / Hanson', 'Canadian Film or Video Production Tax Credit (CPTC)', 'The Department of Trade and Industry of South Africa', 'QED International', 'District 9', 'New Zealand Post Digital and Visual Effects Grant']
37;68718;Django Unchained;47.878;['Drama', 'Western'];With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.;8.155;23386;2012-12-25;425368238;100000000;None;en;['Columbia Pictures', 'The Weinstein Company']
38;968;Dog Day Afternoon;17.766;['Crime', 'Drama', 'Thriller'];Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus.;7.814;2435;1975-08-01;46665856;1800000;None;en;['Warner Bros. Pictures', 'Artists Entertainment Complex']
39;141;Donnie Darko;42.642;['Fantasy', 'Drama', 'Mystery'];After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.;7.788;10864;2001-10-24;7500000;6000000;Darko Collection;en;['Pandora Cinema', 'Adam Fields Productions', 'Gaylord Films', 'Flower Films']
